,id_x,name,artists,popularity,duration,type_x,explicit,date_added,date_released,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type_y,id_y,uri,track_href,analysis_url,duration_ms,time_signature
31,1jJci4qxiYcOHhQR247rEU,Kids,MGMT,78,302840,track,False,2019-07-29T22:23:21Z,2007-12-14,0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,audio_features,1jJci4qxiYcOHhQR247rEU,spotify:track:1jJci4qxiYcOHhQR247rEU,https://api.spotify.com/v1/tracks/1jJci4qxiYcOHhQR247rEU,https://api.spotify.com/v1/audio-analysis/1jJci4qxiYcOHhQR247rEU,302840,4
32,1UqhkbzB1kuFwt2iy4h29Q,Cough Syrup,Young the Giant,70,249520,track,False,2019-07-29T22:23:07Z,2011,0.534,0.721,11,-7.307,0,0.0417,0.0343,6.24e-06,0.115,0.225,128.978,audio_features,1UqhkbzB1kuFwt2iy4h29Q,spotify:track:1UqhkbzB1kuFwt2iy4h29Q,https://api.spotify.com/v1/tracks/1UqhkbzB1kuFwt2iy4h29Q,https://api.spotify.com/v1/audio-analysis/1UqhkbzB1kuFwt2iy4h29Q,249520,3
33,57nNNkgk768QVXq3uHxu5e,Ways to Go,Grouplove,61,215520,track,False,2019-07-29T22:22:43Z,2013-09-17,0.577,0.827,7,-7.54,1,0.0365,0.00338,0.000647,0.26,0.179,101.031,audio_features,57nNNkgk768QVXq3uHxu5e,spotify:track:57nNNkgk768QVXq3uHxu5e,https://api.spotify.com/v1/tracks/57nNNkgk768QVXq3uHxu5e,https://api.spotify.com/v1/audio-analysis/57nNNkgk768QVXq3uHxu5e,215520,4
34,0GO8y8jQk1PkHzS31d699N,Tongue Tied,Grouplove,79,218013,track,False,2019-07-29T22:22:22Z,2011-09-02,0.56,0.936,3,-5.835,1,0.0439,0.00847,0.0,0.161,0.371,112.96,audio_features,0GO8y8jQk1PkHzS31d699N,spotify:track:0GO8y8jQk1PkHzS31d699N,https://api.spotify.com/v1/tracks/0GO8y8jQk1PkHzS31d699N,https://api.spotify.com/v1/audio-analysis/0GO8y8jQk1PkHzS31d699N,218013,4
35,19iqWNzp5LwEdvntpEK8MP,"Steady, As She Goes",The Raconteurs,56,215266,track,False,2019-07-29T22:21:58Z,2006,0.525,0.578,9,-4.563,1,0.12,0.0132,0.00916,0.108,0.537,123.696,audio_features,19iqWNzp5LwEdvntpEK8MP,spotify:track:19iqWNzp5LwEdvntpEK8MP,https://api.spotify.com/v1/tracks/19iqWNzp5LwEdvntpEK8MP,https://api.spotify.com/v1/audio-analysis/19iqWNzp5LwEdvntpEK8MP,215267,4
36,3ItzRpwvKtkDSNdRSjXu7Z,Chelsea Dagger,The Fratellis,64,215173,track,False,2019-07-29T22:21:45Z,2007-01-01,0.512,0.817,7,-3.154,1,0.142,0.0505,0.0,0.0775,0.552,154.607,audio_features,3ItzRpwvKtkDSNdRSjXu7Z,spotify:track:3ItzRpwvKtkDSNdRSjXu7Z,https://api.spotify.com/v1/tracks/3ItzRpwvKtkDSNdRSjXu7Z,https://api.spotify.com/v1/audio-analysis/3ItzRpwvKtkDSNdRSjXu7Z,215173,4
37,4sebUbjqbcgDSwG6PbSGI0,Come a Little Closer,Cage The Elephant,74,229346,track,False,2019-07-29T22:20:21Z,2013-10-08,0.44,0.778,1,-1.786,0,0.0327,0.0265,1.04e-06,0.151,0.304,148.038,audio_features,4sebUbjqbcgDSwG6PbSGI0,spotify:track:4sebUbjqbcgDSwG6PbSGI0,https://api.spotify.com/v1/tracks/4sebUbjqbcgDSwG6PbSGI0,https://api.spotify.com/v1/audio-analysis/4sebUbjqbcgDSwG6PbSGI0,229347,4
38,6vBdBCoOhKHiYDDOcorfNo,Goodbyes (Feat. Young Thug),Post Malone,1,174960,track,True,2019-07-18T06:02:47Z,2019-07-05,0.58,0.653,5,-3.818,1,0.0745,0.447,0.0,0.111,0.175,150.231,audio_features,6vBdBCoOhKHiYDDOcorfNo,spotify:track:6vBdBCoOhKHiYDDOcorfNo,https://api.spotify.com/v1/tracks/6vBdBCoOhKHiYDDOcorfNo,https://api.spotify.com/v1/audio-analysis/6vBdBCoOhKHiYDDOcorfNo,174960,4
39,5dW1VZPcFqB4n0P08rGDgm,The Git Up,Blanco Brown,1,200593,track,False,2019-07-18T04:25:14Z,2019-05-03,0.847,0.678,9,-8.635,1,0.109,0.0669,0.0,0.274,0.811,97.984,audio_features,5dW1VZPcFqB4n0P08rGDgm,spotify:track:5dW1VZPcFqB4n0P08rGDgm,https://api.spotify.com/v1/tracks/5dW1VZPcFqB4n0P08rGDgm,https://api.spotify.com/v1/audio-analysis/5dW1VZPcFqB4n0P08rGDgm,200594,4
40,3u0kNxqOOC8SdoODpkmoZO,The Loser,Zach Farache,0,131657,track,False,2019-07-16T02:48:55Z,2016-07-29,0.608,0.295,1,-10.744,1,0.194,0.468,0.278,0.324,0.147,120.584,audio_features,3u0kNxqOOC8SdoODpkmoZO,spotify:track:3u0kNxqOOC8SdoODpkmoZO,https://api.spotify.com/v1/tracks/3u0kNxqOOC8SdoODpkmoZO,https://api.spotify.com/v1/audio-analysis/3u0kNxqOOC8SdoODpkmoZO,131657,4
